Main food description,WWEIA Category description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total(g)",Total Fat (g),Cholesterol (mg),Iron (mg),Potassium (mg),Sodium (mg)
Corn oil,Salad dressings and vegetable oils,900,0,0,0,100,0,0,0,0
Cottonseed oil,Salad dressings and vegetable oils,884,0,0,0,100,0,0,0,0
Flaxseed oil,Salad dressings and vegetable oils,884,0.11,0,0,99.98,0,0,0,0
Olive oil,Salad dressings and vegetable oils,900,0,0,0,100,0,0.56,1,2
Peanut oil,Salad dressings and vegetable oils,900,0,0,0,100,0,0.03,0,0
Canola oil,Salad dressings and vegetable oils,900,0,0,0,100,0,0,0,0
Safflower oil,Salad dressings and vegetable oils,900,0,0,0,100,0,0,0,0
Sesame oil,Salad dressings and vegetable oils,884,0,0,0,100,0,0,0,0
Soybean oil,Salad dressings and vegetable oils,900,0,0,0,100,0,0.05,0,0
Sunflower oil,Salad dressings and vegetable oils,884,0,0,0,100,0,0,0,0
Walnut oil,Salad dressings and vegetable oils,884,0,0,0,100,0,0,0,0
Wheat germ oil,Salad dressings and vegetable oils,884,0,0,0,100,0,0,0,0
Caesar dressing,Salad dressings and vegetable oils,542,2.17,3.3,2.81,57.85,39,1.08,29,1209
Coleslaw dressing,Salad dressings and vegetable oils,404,0.85,22.4,21.23,34.53,41,0.33,35,850
Honey mustard dressing,Salad dressings and vegetable oils,464,0.87,23.33,15.84,40.83,29,0.29,20,512
"Mayonnaise, regular",Mayonnaise,680,0.96,0.57,0.57,74.85,42,0.21,20,635
Vegan mayonnaise,Mayonnaise,232,0.3,16,6,19.2,24,0,10,497
Avocado dressing,Salad dressings and vegetable oils,427,1.9,7.36,6.67,43.33,40,0.35,58,867
Creamy Italian dressing,Salad dressings and vegetable oils,268,0.55,11.19,9.86,24.63,4,0.27,81,979
Poppy seed dressing,Salad dressings and vegetable oils,399,0.92,23.73,23.39,33.33,15,0.25,61,933
Sesame dressing,Salad dressings and vegetable oils,443,3.1,8.6,8.32,45.2,0,0.6,157,1000
Ranch dressing,Salad dressings and vegetable oils,430,1.32,5.9,4.69,44.54,26,0.3,64,901
Thousand Island dressing,Salad dressings and vegetable oils,379,1.09,14.64,15.18,35.06,26,1.18,107,962
"Mayonnaise, light",Mayonnaise,238,0.37,9.23,3.56,22.22,16,0.14,31,827
"Sugar, NFS",Sugars and honey,401,0,99.6,99.8,0.32,0,0.05,2,1
"Syrup, NFS","Jams, syrups, toppings",265,0,69.6,42,0.1,0,0.07,6,61
Pancake syrup,"Jams, syrups, toppings",265,0,69.6,42,0.1,0,0.07,6,61
